 num     #instances         #bytes  class name (module)
-------------------------------------------------------
   1:         24123         994488  [B (java.base@21.0.7)
   2:         24042         577008  java.lang.String (java.base@21.0.7)
   3:          1113         252720  [Ljava.lang.Object; (java.base@21.0.7)
   4:          1524         188392  java.lang.Class (java.base@21.0.7)
   5:          8074         129184  java.lang.Object (java.base@21.0.7)
   6:          4016         128512  java.util.HashMap$Node (java.base@21.0.7)
   7:          5134          82144  java.lang.Integer (java.base@21.0.7)
   8:          1334          43680  [I (java.base@21.0.7)
   9:           264          40512  [Ljava.util.HashMap$Node; (java.base@21.0.7)
  10:          1136          36352  java.util.concurrent.ConcurrentHashMap$Node (java.base@21.0.7)
  11:             8          33560  [C (java.base@21.0.7)
  12:            20          23296  [Ljava.util.concurrent.ConcurrentHashMap$Node; (java.base@21.0.7)
  13:           170          12920  [Ljava.lang.ref.SoftReference; (java.base@21.0.7)
  14:           266          12768  java.util.HashMap (java.base@21.0.7)
  15:           341          10912  jdk.internal.math.FDBigInteger (java.base@21.0.7)
  16:           367           8808  java.lang.module.ModuleDescriptor$Exports (java.base@21.0.7)
  17:           146           7008  java.lang.invoke.MemberName (java.base@21.0.7)
  18:           215           6880  java.lang.invoke.LambdaForm$Name (java.base@21.0.7)
  19:           167           6680  java.lang.invoke.MethodType (java.base@21.0.7)
  20:           196           6272  jdk.internal.util.WeakReferenceKey (java.base@21.0.7)
  21:           256           6144  java.lang.Long (java.base@21.0.7)
  22:            41           6032  [Ljava.lang.invoke.MethodHandle; (java.base@21.0.7)
  23:           242           5808  java.util.ImmutableCollections$Set12 (java.base@21.0.7)
  24:           166           5272  [Ljava.lang.Class; (java.base@21.0.7)
  25:            62           4960  java.net.URI (java.base@21.0.7)
  26:           137           4384  java.lang.module.ModuleDescriptor$Requires (java.base@21.0.7)
  27:           256           4096  java.lang.Byte (java.base@21.0.7)
  28:           256           4096  java.lang.Short (java.base@21.0.7)
  29:            62           3968  java.lang.module.ModuleDescriptor (java.base@21.0.7)
  30:            68           3808  java.lang.Module (java.base@21.0.7)
  31:           145           3480  java.util.ImmutableCollections$SetN (java.base@21.0.7)
  32:            62           3472  jdk.internal.module.ModuleReferenceImpl (java.base@21.0.7)
  33:           203           3248  java.util.HashSet (java.base@21.0.7)
  34:           130           3120  java.lang.invoke.ResolvedMethodName (java.base@21.0.7)
  35:            64           2888  [Ljava.lang.invoke.LambdaForm$Name; (java.base@21.0.7)
  36:            59           2832  java.lang.invoke.LambdaForm (java.base@21.0.7)
  37:            85           2720  java.lang.invoke.MethodTypeForm (java.base@21.0.7)
  38:            39           2496  java.util.concurrent.ConcurrentHashMap (java.base@21.0.7)
  39:            68           2176  java.lang.invoke.LambdaForm$Kind (java.base@21.0.7)
  40:           128           2048  java.lang.Character (java.base@21.0.7)
  41:            51           2040  java.lang.ref.SoftReference (java.base@21.0.7)
  42:            61           1952  jdk.internal.loader.BuiltinClassLoader$LoadedModule (java.base@21.0.7)
  43:            71           1704  java.lang.invoke.LambdaForm$NamedFunction (java.base@21.0.7)
  44:            68           1632  java.util.ImmutableCollections$List12 (java.base@21.0.7)
  45:            62           1488  java.lang.module.ModuleDescriptor$Provides (java.base@21.0.7)
  46:            62           1488  java.lang.module.ResolvedModule (java.base@21.0.7)
  47:            62           1488  jdk.internal.module.ServicesCatalog$ServiceProvider (java.base@21.0.7)
