date,open,high,low,close,volume,indicator_sma_5,indicator_sma_10,indicator_sma_20,indicator_ema_12,indicator_ema_26,indicator_rsi
2025-08-16,93.0,96.25,91.05,87.79,1000,,,,87.79,87.79,
2025-08-17,89.28,91.07,88.21,86.42,1100,,,,87.5792,87.6885,
2025-08-18,88.39,88.83,88.12,87.68,1200,,,,87.5947,87.6879,
2025-08-19,87.5,87.94,87.24,86.8,1300,,,,87.4724,87.6221,
2025-08-20,89.25,90.15,88.72,90.68,1400,87.874,,,87.9659,87.8486,
2025-08-21,93.72,96.06,92.31,97.46,1500,89.808,,,89.4265,88.5606,
2025-08-22,98.4,100.86,96.93,102.34,1600,92.992,,,91.4132,89.5813,
2025-08-23,92.5,95.27,90.83,88.06,1700,93.068,,,90.8973,89.4686,
2025-08-24,89.72,91.07,88.92,87.57,1800,93.222,,,90.3854,89.328,
2025-08-25,87.03,88.34,86.25,84.94,1900,92.074,89.974,,89.5476,89.003,
2025-08-26,87.03,87.03,87.03,87.03,1000,89.988,89.898,,89.1603,88.8569,
2025-08-27,89.64,90.99,88.84,91.79,1100,87.878,90.435,,89.5649,89.0742,
2025-08-28,92.33,93.72,91.5,94.55,1200,89.176,91.122,,90.3318,89.4798,
2025-08-29,97.87,100.81,96.11,102.57,1300,92.176,92.699,,92.2146,90.4494,
2025-08-30,92.98,95.3,91.58,89.26,1400,93.04,92.557,,91.76,90.3613,51.0907
2025-08-31,88.33,90.54,87.0,84.8,1500,92.594,91.291,,90.6892,89.9494,48.8507
2025-09-01,86.56,87.43,86.04,85.18,1600,91.272,89.575,,89.8416,89.5961,48.204
2025-09-02,87.43,87.86,87.17,88.13,1700,89.988,89.582,,89.5783,89.4875,50.9279
2025-09-03,88.3,88.74,88.04,89.01,1800,87.276,89.726,,89.4909,89.4521,48.784
2025-09-04,91.83,93.67,90.73,94.77,1900,88.378,90.709,90.3415,90.3031,89.846,48.0118
2025-09-05,98.26,101.7,96.2,103.77,1000,92.172,92.383,91.1405,92.3749,90.8774,50.9962
2025-09-06,91.38,94.58,89.47,86.27,1100,92.39,91.831,91.133,91.4357,90.5361,48.8065
2025-09-07,87.73,89.48,86.68,84.92,1200,91.748,90.868,90.995,90.4333,90.1201,48.2531
2025-09-08,86.85,87.29,86.59,86.16,1300,91.178,89.227,90.963,89.7759,89.8268,50.8192
2025-09-09,85.98,86.41,85.73,85.3,1400,89.284,88.831,90.694,89.0873,89.4915,48.8188
2025-09-10,87.7,88.58,87.18,89.11,1500,86.352,89.262,90.2765,89.0908,89.4632,48.1461
2025-09-11,92.09,94.39,90.71,95.77,1600,88.252,90.321,89.948,90.1184,89.9304,50.8007
2025-09-12,96.69,99.11,95.24,100.56,1700,91.38,91.564,90.573,91.7248,90.7178,48.6223
2025-09-13,90.89,93.62,89.25,86.53,1800,91.454,91.316,90.521,90.9256,90.4076,48.1471
2025-09-14,88.16,89.49,87.37,86.05,1900,91.604,90.444,90.5765,90.1755,90.0848,50.8968
